contrast,sf,scale,low,high
0.005,16,0,0,0
0.005,4,1.22195547022283,0.792856844725049,1.83949963445824
0.005,0.5,0.169442142549487,-0.299574716224689,0.7310538977221
0.013,16,-0.498804924184574,-1.10342719166107,-0.0183634005810043
0.013,4,2.91829002451396,2.44718660391217,3.80198943954232
0.013,0.5,1.45557304720133,1.02477206965222,2.13549169549076
0.035,16,0.81816617146136,0.414386547889127,1.41652084728974
0.035,4,3.99068223617706,3.50133119493403,5.09764079938216
0.035,0.5,3.55679517573346,3.00715246976578,4.56805524943373
0.092,16,1.47633542766582,1.047817606212,2.12823293170497
0.092,4,5.38208934298517,4.8208761723466,6.82475764380737
0.092,0.5,4.82602114577019,4.29483164471144,6.13945784353796
0.243,16,2.94437425998231,2.4499399428404,3.95106436908765
0.243,4,6.25803123968899,5.71610104552427,7.72791946343949
0.243,0.5,6.1392202443937,5.6070959450508,7.64819618665412
0.64,16,6.66241153034028,6.07818068985036,8.21212898386363
0.64,4,8.91732290312212,8.12881366625815,12.0124165059628
0.64,0.5,7.47309997313479,6.84239200285274,9.30582703976747
